trial,flipped_bit_index,byte_offset,differing_bits_of_256
358,2118,264,139
359,6699,837,133
360,7764,970,121
361,3481,435,120
362,3862,482,142
363,5919,739,138
364,4286,535,120
365,2032,254,131
366,6382,797,134
367,4348,543,131
368,1806,225,125
369,3591,448,133
370,7657,957,132
371,3769,471,137
372,684,85,118
373,1773,221,133
374,7067,883,137
375,836,104,128
376,2632,329,125
377,4338,542,137
378,3596,449,124
379,2474,309,136
380,2937,367,129
381,5719,714,123
382,4282,535,126
383,3832,479,113
384,2889,361,127
385,3304,413,126
386,682,85,140
387,2106,263,133
388,2382,297,130
389,4334,541,129
390,6122,765,109
391,5658,707,129
392,1601,200,137
393,2407,300,131
394,7873,984,142
395,3602,450,123
396,6999,874,130
397,1218,152,137
398,7074,884,133
399,1192,149,135
400,6007,750,130
401,7023,877,142
402,64,8,117
403,4213,526,127
404,3701,462,132
405,3878,484,145
406,1305,163,131
407,7619,952,128
408,5529,691,130
409,7560,945,127
410,7698,962,129
411,4148,518,119
412,1459,182,126
413,4303,537,128
414,4879,609,131
415,3200,400,127
416,2321,290,136
417,3876,484,129
418,1657,207,125
419,6094,761,120
420,4586,573,122
421,2964,370,135
422,6843,855,126
423,1280,160,125
424,2696,337,127
425,1159,144,125
426,8182,1022,125
427,2184,273,136
428,1201,150,130
429,2295,286,134
430,7969,996,126
431,435,54,126
432,6586,823,136
433,5564,695,130
434,705,88,116
435,8093,1011,123
436,3897,487,126
437,8175,1021,147
438,4947,618,131
439,5180,647,120
440,2988,373,116
441,2203,275,126
442,7566,945,124
443,1971,246,134
444,8008,1001,132
445,4569,571,129
446,4960,620,139
447,5956,744,125
448,7703,962,121
449,3696,462,144
450,7862,982,123
451,3304,413,126
452,2763,345,130
453,5002,625,132
454,4520,565,133
455,2214,276,112
456,4299,537,131
457,4658,582,125
458,3306,413,121
459,1023,127,125
460,6335,791,118
461,5919,739,138
462,1472,184,125
463,6372,796,123
464,3413,426,131
465,908,113,130
466,5086,635,138
467,1321,165,116
468,4899,612,116
469,3481,435,120
470,2654,331,130
471,1787,223,122
472,233,29,130
473,938,117,123
474,2636,329,128
475,709,88,110
476,7217,902,142
477,7624,953,115
478,3301,412,129
479,6610,826,127
480,6713,839,139
481,8118,1014,137
482,3448,431,125
483,319,39,133
484,5053,631,135
485,1367,170,131
486,5227,653,112
487,808,101,136
488,1697,212,143
489,4938,617,126
490,929,116,133
491,1765,220,134
492,2291,286,116
493,7099,887,125
494,1773,221,133
495,7503,937,119
496,5207,650,131
497,4278,534,116
498,7899,987,125
499,5879,734,122
500,2720,340,135
501,2456,307,130
502,805,100,133
503,7065,883,122
504,2010,251,120
505,1460,182,114
506,6109,763,123
507,7272,909,130
508,4137,517,134
509,4764,595,136
510,7880,985,130
511,4112,514,128
512,7735,966,129
513,88,11,141
514,4592,574,123
515,4912,614,113
516,1462,182,128
517,4162,520,136
518,7207,900,115
519,1395,174,141
520,2795,349,119
521,5836,729,136
522,1585,198,123
523,4456,557,125
524,7590,948,120
525,2495,311,123
526,2457,307,125
527,6159,769,127
528,83,10,130
