key_size,key_bits,file_type,input_size,input_bytes,input_MB,trial,enc_time_ms,dec_time_ms,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_pct,dec_cpu_pct,enc_cpu_os_pct,dec_cpu_os_pct,enc_peak_MB,dec_peak_MB,rss_MB,verified
AES-256,256,JPG,1KB,1024,0.000976562,5,0.051,0.0291,19.1483,33.5589,92.2788,97.0837,43.748,49.9999,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,1KB,1024,0.000976562,5,0.0437,0.0335,22.347,29.1511,97.4576,96.7794,43.7488,37.4993,0.00151634,0.00145817,35.5273,PASS
AES-256,256,JPG,1KB,1024,0.000976562,6,0.0511,0.0354,19.1108,27.5865,94.423,91.1794,12.4999,56.2498,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,1KB,1024,0.000976562,6,0.0447001,0.0295,21.847,33.1038,97.0084,95.9127,74.9942,43.7498,0.00151634,0.00145817,35.5273,PASS
AES-192,192,JPG,1KB,1024,0.000976562,6,0.0548,0.0376999,17.8205,25.9036,96.6069,98.2381,37.4987,49.9997,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,1KB,1024,0.000976562,7,0.0424001,0.028,23.0321,34.8773,97.078,94.7305,37.4998,18.75,0.00151634,0.00145817,35.5273,PASS
AES-192,192,JPG,1KB,1024,0.000976562,7,0.0436,0.0329,22.3982,29.6827,96.4606,97.4237,18.7498,62.4987,0.00151634,0.00145817,35.5273,PASS
AES-256,256,JPG,1KB,1024,0.000976562,7,0.0562001,0.0360999,17.3765,27.0516,95.717,98.1718,68.7476,62.4988,0.00151634,0.00145817,35.5273,PASS
AES-192,192,JPG,1KB,1024,0.000976562,8,0.0463,0.0257001,21.0921,37.9984,97.9458,97.1152,56.2485,37.4995,0.00151634,0.00145817,35.5273,PASS
AES-256,256,JPG,1KB,1024,0.000976562,8,0.0469,0.0337,20.8222,28.9781,97.324,89.0497,49.9981,37.4999,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,1KB,1024,0.000976562,8,0.0376999,0.0268,25.9036,36.4389,95.1775,98.0095,18.7494,37.4999,0.00151634,0.00145817,35.5273,PASS
AES-256,256,JPG,1KB,1024,0.000976562,9,0.0497,0.0302,19.6491,32.3365,97.6886,97.6781,49.9993,56.2485,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,1KB,1024,0.000976562,9,0.0653,0.0545001,14.955,17.9186,92.0209,96.3165,12.4998,6.24995,0.00151634,0.00145817,35.5273,PASS
AES-192,192,JPG,1KB,1024,0.000976562,9,0.0463,0.0372999,21.0921,26.1813,95.9352,95.1454,37.4987,18.7498,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,1KB,1024,0.000976562,10,0.0536001,0.0383001,18.2194,25.4977,96.6551,94.3793,49.999,49.9995,0.00151634,0.00145817,35.5273,PASS
AES-192,192,JPG,1KB,1024,0.000976562,10,0.0464,0.0304,21.0466,32.1238,95.4758,95.1475,31.2494,24.9935,0.00151634,0.00145817,35.5273,PASS
AES-256,256,JPG,1KB,1024,0.000976562,10,0.0530999,0.0314,18.391,31.1007,94.2366,97.2311,18.7497,87.4782,0.00151634,0.00145817,35.5273,PASS
AES-128,128,JPG,100KB,102400,0.0976562,1,0.0840999,0.0774,1161.19,1261.71,95.9508,96.1506,68.7452,56.2489,0.098196,0.0981379,34.375,PASS
