key_size,key_bits,file_type,input_size,input_bytes,input_MB,trials,enc_mean_ms,enc_min_ms,enc_max_ms,enc_std_ms,enc_cv_pct,dec_mean_ms,dec_min_ms,dec_max_ms,dec_std_ms,dec_cv_pct,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_mean_pct,enc_cpu_std_pct,dec_cpu_mean_pct,dec_cpu_std_pct,enc_cpu_mean_pct_of_all_cores,enc_cpu_os_mean_pct,dec_cpu_os_mean_pct,enc_peak_mean_MB,dec_peak_mean_MB,rss_mean_MB,rss_max_MB,correctness
AES-256,256,BIN,50MB,52428800,50,10,30.5208,28.3285,32.0929,1.09979,3.60342,32.9455,30.2829,36.7205,2.73729,8.30856,1638.23,1517.66,96.9882,1.27196,97.8715,0.936192,3.03088,61.152,71.9612,50.0005,50.0005,133.785,133.785,PASS 10/10
AES-128,128,TXT,1KB,1024,0.000976562,10,0.04912,0.0423,0.0575001,0.00515167,10.4879,0.03358,0.0281,0.0431,0.00500217,14.8963,19.8812,29.0817,95.0694,2.71482,95.9761,2.19456,2.97092,47.4985,49.9992,0.00151634,0.00145817,35.5742,35.5742,PASS 10/10
AES-192,192,TXT,1KB,1024,0.000976562,10,0.04809,0.0402,0.0583,0.00615152,12.7917,0.03362,0.0291,0.0531001,0.00763775,22.7179,20.307,29.0471,94.8142,2.95672,95.4065,2.40503,2.96294,41.8492,44.361,0.00151634,0.00145817,35.5742,35.5742,PASS 10/10
AES-256,256,TXT,1KB,1024,0.000976562,10,0.04763,0.0385001,0.0584,0.00619105,12.9982,0.03363,0.0228001,0.0493,0.00900025,26.7626,20.5031,29.0384,95.3948,3.01014,94.3702,2.66382,2.98109,51.8735,47.4993,0.00151634,0.00145817,35.5742,35.5742,PASS 10/10
AES-128,128,TXT,100KB,102400,0.0976562,10,0.09296,0.0797,0.115,0.00938525,10.096,0.12163,0.0670999,0.2243,0.0493072,40.5387,1050.52,802.896,95.1694,1.97965,95.5953,1.79431,2.97404,43.1208,41.2461,0.098196,0.0981379,34.3793,34.4258,PASS 10/10
AES-192,192,TXT,100KB,102400,0.0976562,10,0.09217,0.0749,0.1068,0.00966758,10.4889,0.13111,0.0691001,0.1742,0.0326926,24.9352,1059.52,744.842,94.7134,3.29696,94.6423,3.12786,2.95979,47.4962,46.2463,0.098196,0.0981379,34.3762,34.4258,PASS 10/10
AES-256,256,TXT,100KB,102400,0.0976562,10,0.11814,0.0759,0.2627,0.0574416,48.6216,0.14264,0.1322,0.185,0.0155142,10.8765,826.615,684.634,95.4926,2.23164,95.5291,2.16548,2.98414,49.9866,45.6217,0.098196,0.0981379,34.2141,34.4258,PASS 10/10
AES-128,128,TXT,1MB,1048576,1,10,0.70285,0.6588,0.8547,0.0595544,8.47328,0.71527,0.6331,0.8824,0.0847625,11.8504,1422.78,1398.07,97.7815,0.754113,97.2954,1.31869,3.05567,78.0255,77.364,1.00054,1.00048,35.9805,35.9805,PASS 10/10
AES-192,192,TXT,1MB,1048576,1,10,1.01464,0.6423,3.4935,0.87435,86.1734,0.76987,0.6865,1.0576,0.115394,14.9888,985.571,1298.92,98.0761,0.706263,97.9525,0.937335,3.06488,81.7803,85.4958,1.00054,1.00048,35.9805,35.9805,PASS 10/10
AES-256,256,TXT,1MB,1048576,1,10,0.71267,0.6881,0.7816,0.0286415,4.0189,0.71992,0.6778,0.8205,0.0411011,5.70912,1403.17,1389.04,98.1301,0.830601,97.7271,1.44331,3.06657,80.4762,77.3569,1.00054,1.00048,35.9805,35.9805,PASS 10/10
AES-128,128,TXT,5MB,5242880,5,10,2.953,2.7669,3.4137,0.186123,6.30285,2.97389,2.8286,3.3781,0.154003,5.17849,1693.19,1681.3,97.8768,1.20892,98.2647,0.746766,3.05865,80.1207,79.4587,5.00054,5.00048,43.9805,43.9805,PASS 10/10
AES-192,192,TXT,5MB,5242880,5,10,3.13518,2.8768,4.2396,0.393532,12.5521,3.16688,2.9718,4.0083,0.303975,9.59857,1594.8,1578.84,97.7127,1.02071,98.1529,0.861628,3.05352,81.3033,80.766,5.00054,5.00048,43.9805,43.9805,PASS 10/10
AES-256,256,TXT,5MB,5242880,5,10,3.16853,3.0485,3.8599,0.245465,7.74698,3.29682,3.084,4.0538,0.305374,9.26267,1578.02,1516.61,97.9156,0.696905,98.3994,0.74893,3.05986,82.9686,88.1273,5.00054,5.00048,43.9805,43.9805,PASS 10/10
AES-128,128,TXT,10MB,10485760,10,10,5.85458,5.3081,6.8931,0.513601,8.77263,5.71959,5.4704,6.007,0.153367,2.68143,1708.06,1748.38,97.7862,0.946416,97.8351,0.959892,3.05582,74.3774,79.63,10.0005,10.0005,53.9805,53.9805,PASS 10/10
AES-192,192,TXT,10MB,10485760,10,10,6.09286,5.7788,6.4726,0.212032,3.48001,6.20772,5.9025,6.6068,0.239988,3.86597,1641.27,1610.9,98.0882,0.904806,97.8343,1.0249,3.06525,81.039,79.0922,10.0005,10.0005,53.9805,53.9805,PASS 10/10
AES-256,256,TXT,10MB,10485760,10,10,6.25538,5.9435,6.8304,0.255965,4.09192,6.5214,5.9642,7.5822,0.596444,9.14595,1598.62,1533.41,97.3868,1.05993,98.0644,1.15497,3.04334,74.1421,75.5724,10.0005,10.0005,53.9805,53.9805,PASS 10/10
AES-128,128,TXT,50MB,52428800,50,10,30.5634,27.5079,37.2526,3.12661,10.2299,30.5497,29.1811,32.2908,1.29891,4.25178,1635.94,1636.68,96.924,1.50511,97.3705,1.34984,3.02887,67.952,66.137,50.0005,50.0005,133.98,133.98,PASS 10/10
